university,programme,level,course_code,course_name,skill,match_method,score
RTU,Telecommunication Technologies and Data Transmission Engineering,Bachelor,DE0355,Mobile Network Architecture,Content marketing,keyword,1.0
RTU,Telecommunication Technologies and Data Transmission Engineering,Bachelor,DE0355,Mobile Network Architecture,Data warehousing,keyword,1.0
RTU,Telecommunication Technologies and Data Transmission Engineering,Bachelor,DE0355,Mobile Network Architecture,Kotlin,keyword,1.0
RTU,Telecommunication Technologies and Data Transmission Engineering,Bachelor,DE0355,Mobile Network Architecture,Business Intelligence,keyword,1.0
RTU,Telecommunication Technologies and Data Transmission Engineering,Bachelor,DE0355,Mobile Network Architecture,Microservices,keyword,1.0
RTU,Telecommunication Technologies and Data Transmission Engineering,Bachelor,DE0355,Mobile Network Architecture,Negotiation,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,PostgreSQL,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,Machine learning,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,AutoCAD,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,Warehouse management,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,SQL,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,ERP,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,Excel,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,Encryption,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,Data warehousing,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,SOC,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,Business Intelligence,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,Firewall,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,GDPR compliance,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,VPN,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,Cybersecurity,keyword,1.0
TSI,Computer Science,Master,M-25-04,Cybersecurity and Data Protection,Information security,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Reporting,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Excel,keyword,1.0
TSI,Computer Science,Master,M-27-04,Programing for Data Analytics,Business Intelligence,keyword,1.0
TSI,Computer Science,Master,M-27-04,Programing for Data Analytics,Data science,keyword,1.0
TSI,Computer Science,Master,M-27-04,Programing for Data Analytics,Google Analytics,keyword,1.0
TSI,Computer Science,Master,M-27-04,Programing for Data Analytics,Data analytics,keyword,1.0
TSI,Computer Science,Master,M-27-04,Programing for Data Analytics,Data analysis,keyword,1.0
TSI,Computer Science,Master,M-27-04,Programing for Data Analytics,Reporting,keyword,1.0
TSI,Computer Science,Master,M-27-04,Programing for Data Analytics,Excel,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,GraphQL,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,Database design,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,Oracle,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,UI/UX,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,MySQL,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,.NET,keyword,1.0
TSI,Computer Science,Master,M-26-04,Modern Database Technologies,SAP,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,Stakeholder management,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,Graphic design,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,SAP,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,React,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,AutoCAD,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,ERP,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,Excel,keyword,1.0
TSI,Computer Science,Master,M-231-04,Research Methodology,Elasticsearch,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Golang,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Business Intelligence,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Data science,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,C++,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Google Analytics,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Data analytics,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Statistics,keyword,1.0
TSI,Computer Science,Master,M-28-04,Mathematics for Data Analytics,Data analysis,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,Google Analytics,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,UI/UX,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,Graphic design,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,React,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,Machine learning,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,Data analysis,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,KPI,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,Reporting,keyword,1.0
TSI,Computer Science,Master,M-23-04,Machine Learning and Predictive Analytics,Financial analysis,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,Web design,keyword,1.0
TSI,Computer Science,Master,M-232-04,Busines Inteligence and Data Visualisation,Data warehousing,keyword,1.0
