university,programme,programme_code,faculty,level,course_code,course_name,ects
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0785,Technical System Vibration and Stability,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0110,Thermodynamics and Gas Dynamics,4
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0004,Mechanics of Composite Materials,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0005,Rotary Machines,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0786,Optimization Methods,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0773,Computer-Aided Analysis of Mechanical Systems of Machines,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0784,Lifting and Transporting Machines,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0121,Analysis and Optimization of Machines Structures and Technological Processes,4
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0780,Basics of Technical Design,3
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,IV0001,Basics of Labour Protection,1
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0778,Theory of Elasticity Viscoelasticity and Plasticity,4
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0774,Shock Theory,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0776,Finite and Boundary Element Methods,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0770,Vehicle Mechanics,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0781,Experimental Mechanics and Technical Diagnostics,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0783,Numerical Analysis for Research of Dynamics of Machines,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0775,Dynamics and Control of Machines,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0769,Modeling and Simulation of Physical Processes,6
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,BM0765,Fundamentals of Patents,3
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,IV0380,Business Economics,3
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,IV0679,Planning of Entrepreneurship,3
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,IV0680,Legal Regulation of Entrepreneurship,3
RTU,"Engineering Technology, Mechanics and Mechanical Engineering",MMM0,Faculty of Civil and Mechanical Engineering,Master,DE0729,Communication and Presentation Skills,3
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0745,Advanced Data Technologies,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0747,Enterprise Architecture and Requirements Engineering,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0752,Systems Theory,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0740,Business Process Management and Engineering,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0751,e-Business Solutions,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0645,Portfolio Management Technologies,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0739,Knowledge Management Systems,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0754,Service Science Management and Engineering,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0742,Quality Risk and Security Technologies,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0746,Research Methods in Business Informatics,3
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0001,Storage Networking,3
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0748,Network Security Requirements,3
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0743,Artificial Intelligence in Business,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0753,Information Systems Security Engineering,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0738,Enterprise Information Technology Architecture Applications and Integration,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0638,Digital Transformation,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0750,Business Analytics,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0940,Business Analytics with Machine Learning,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,BS0055,Business Law,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,BS0054,Business Ethics,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,BS0052,Entrepreneurship,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,BS0053,Business Communication Skills,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,BS0050,Entrepreneurial Finance,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,BS0051,Leadership,6
RTU,Business Informatics,DMB0,"Faculty of Computer Science, Information Technology and Energy",Master,BS0049,Corporate Governance,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0478,Artificial Intelligence,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0773,Testing and Software Quality,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0759,Evolution of Object-Oriented Software,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0767,Requirements Engineering,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0936,Specialized Database Technologies,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0935,Computer Systems Scientific Seminar,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0937,Machine Learning Algorithms,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0938,Software Development Project Management Methods,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0939,Information Retrieval,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0941,Deep Machine Learning,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0947,Natural Language Processing,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0942,Computer Vision,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0943,Software for Internet of Things,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0922,High-Level Software Design,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0944,Parallel Functional Programming,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0946,Control of Cyber-Physical Systems,6
