code,title,level,ects,description,topics,filename
B-506-05,Subject of Fre Choice,Master,3,# Learning outcome LO1 LO2 LO3,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 0",Subject_B_506_05_en.pdf
C-142-04,"Labour Safety, Civil Defence and Environment Protection",Master,3,,,Subject_C_142_04_en.pdf
C-603-05,Latvian for Foreign Students,Master,3,"the course is to provide students with basic knowledge of the Latvian language, to introduce gramar structures and vocabulary used in daily conversations as wel as in social and state institutions. | # Learning outcome LO1 Know basic language constructions and paterns LO2 Use simple verbs in simple tenses to cover main topics, use simple word-combinations and numerals for forming language constructions related to the topic 1 Learning outcomes LO3 Provide writen and oral information on certain topics","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Formal and informal gretings. Personal information. 4 W1 W2 Family P My ocuptation 6 W3 W5 P My house, flat. On excursion 4 W6 W7 P Numbers, months, a clock 4 W8 W9 P My studies at a university 4 W9 W10 P Comparison. Declinations 2 W1 W12 P In the shop. Money 4 W13 W14 P Means of transport. 4 W15 W16",Subject_C_603_05_en.pdf
M-06-04,Information Systems and Technologies,Master,6,,,Subject_M_066_04_en.pdf
M-10-04,Data Mining,Master,6,,,Subject_M_100_04_en.pdf
M-212-04,Computer Vision and Image Procesing,Master,6,"the course is to familiarize students with the problems of computer image procesing and the most comon ways to solve them, including methods for recording video information, image filtering, segmentation, enhancement and restoration, recognition and clasification of objects.",,Subject_M_212_04_en.pdf
M-25-04,Cybersecurity and Data Protection,Master,6,"# Learning outcome LO1 Identify traits of cybercriminals and security experts, core data protection principles, cybercriminal methods, infosec policies and standards, and data protection laws. LO2 Usage of relevant technologies, products and procedures to protect data confidentiality; ensure data integrity and provide data high availability. LO3 Aplication of standards and frameworks asociated with data protection and cybersecurity.",,Subject_M_225_04_en.pdf
M-26-04,Modern Database Technologies,Master,9,,"Learning outcomes # Learning outcome LO1 Understand and use the relational model to structure data for eficient and efective storage and retrieval LO2 Design, develop and validate a range of data models and schemas LO3 Understand, evaluate and aply a range of data query and manipulation languages and frameworks LO4 Demonstrate competence with theoretical and practical aspects of enterprise data me",Subject_M_226_04_en.pdf
M-27-04,Programing for Data Analytics,Master,9,"this course is to introduce the fundamental concepts behind software programing, and to give students practical hands-on experience reading and writing computer programs for manipulate large data sets.",,Subject_M_227_04_en.pdf
M-28-04,Mathematics for Data Analytics,Master,6,"the course is to provide a strong background in mathematical concepts related to the data analytics field. | # Learning outcome LO1 Knows and understands fundamental properties of matrices, their norms and aplications. LO2 Understands and uses multivariate functions. 1 Learning outcomes LO3 Knows and understands optimization methods involving matrices and multivariate functions. LO4 Understands principles of statistical estimation and knows contemporary estimation methods.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Matrices: definition, aplications and basic operations. 4 W1 L Square matrices: determinant and inverse matrix. 2 W2 L Eigensystems: eigenvalues and eigenvectors. 2 W3 P Practical asignment 1 4 W4 L Matrices and systems of linear equations. 4 W5 L Range and kernel of matrices. Positive definite matrices. 2 W6 P Practical asi",Subject_M_228_04_en.pdf
M-231-04,Research Methodology,Master,9,,,Subject_M_231_04_en.pdf
M-232-04,Busines Inteligence and Data Visualisation,Master,6,"# Learning outcome LO1 Define, demarcate, and explore busines problems interactively in comunication with key stakeholders LO2 Select, evaluate, and employ apropriate tols, platforms and methods to generate BI and visualisation solutions. LO3 Reflect upon and critique own and others informational and visual artefact 1 Learning outcomes LO4 Deliver a data-driven narative apropriately and efectively to stakeholders, based on a theoretical underpining of comunicating for impact","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Overview of busines decisions and chalenges requiring 6 W1 W2 BI input. Efective design critique and profesional practice L Conecting to enterprise data sources. Verifying and 6 W3 W4 anotating data acording to provenance. L Use of BI tols and platforms (e.g. Tableau) to analyse 10 W5 W7 data and present results in tabular a",Subject_M_232_04_en.pdf
M-23-04,Machine Learning and Predictive Analytics,Master,6,LO5 Visualise and present the results of predictive and descriptive models alongside an evaluation of performance and recomendations for improvement LO6 Understand predictive analytics trends and chalenges and ilustrate fluency with software tols used in predictive analytics,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Introduction to machine learning 2 W1 L “Case-study” dažādiem mācību veidiem - (apmācība) 2 W2 L Machine learning for predictive analytics 8 W3 W5 L Case study on problem - a “suitable” predictive modeling 8 W6 W8 technique - (tutorial) L Advanced topics and Software tols 8 W9 W12 L Trends and chalenges in predictive analyti",Subject_M_233_04_en.pdf
M-234-04,Interdisciplinary Group Project,Master,6,"# Learning outcome LO1 Aply design thinking and service design for inovation, improved eficiency or research insight LO2 Aply design thinking and service design for inovation, improved eficiency or research insight LO3 Work productively, equitably and colaboratively in multidisciplinary teams using agile project management methods LO4 Select, aply and critique contemporary tols, methods and technologies using real- world data and use cases.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Learning sets and project identification 6 W1 W3 P Workshop topics 12 W4 W7 P Project development and delivery 14 W8 W1 L Workshop topics 16 W12 W16",Subject_M_234_04_en.pdf
M-245-04,Quality Models of Software and Information Systems (QM SIS),Master,6,"# Learning outcome LO1 Define and describe standard characteristics of the quality of information systems and proceses of their development, including maturity levels of organizations acording to the CMI model. LO2 Identify quantitative quality goals for information systems and IT Projects. LO3 Use curent models to improve the quality of IT proceses. LO4 Identify problems in the development of information systems and find their causes in order to prevent them further.",,Subject_M_245_04_en.pdf
M-253-04,Master Thesis,Master,30,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Seminar: Master thesis preparation, general requirements 2 W1 and procedures L Seminar: Use of library services 2 W2 L Seminar: Ethics and plagiarism 2 W2 1 Sylabus and Study plan L Conference Participation: Research and Academic 2 W10 Conference Research and Technology – Step into the Future L Pre-Defence of Master's Thesis",Subject_M_253_04_en.pdf
M-340-01,Critical Thinking and Inovation,Master,6,this course is to equip students with the basic skils of exercising critical thought to develop and suport their views and evaluate arguments in academic debate and practical afairs of everyday life. | # Learning outcome LO1 Know and explain the key atitudes and skils in critical thinking LO2 Aply critical thinking skils to examine arguments in debates and texts LO3 Identify falacious reasoning in everyday life and corect the falacies identified LO4 Formulate the problem and actualize seting goals and objectives of the research in terms of systems theory LO5 Aply a systematic aproach to the analysis and synthesis of complex systems for problem solutions,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Critical thinking. Main definitions 4 W1 W1 P Levels of intelectual skil: the thinking triangle 4 W2 W2 L Critical Thinking Standards 4 W3 W3 P Critical thinking strategies 4 W4 W4 L Bariers to Critical Thinking 4 W5 W5 L Critical Thinking Skils 4 W6 W6 L The role of critical thinking in project management 4 W7 W7 L Tols to ",Subject_M_340_01_en.pdf
M-350-01,Modern Software Enginering,Master,9,"this course is to equip learners with the knowledge and practical skils in modern software enginering methodologies, principles, and practices. Learners wil develop the ability to evaluate the efectivenes of an organization’s software development practices, sugest improvements, and define a proces improvement strategy. | and include presentations, project work, and the final examination. 2 Independent study Independent work is organized through the performance of several types of asignments: research tasks, project work, and presentations. Full-titime First Sit Elements Element",,Subject_M_350_01_en.pdf
M-40-01,Artificial Inteligence,Master,6,,,Subject_M_400_01_en.pdf
M-401-01,Project and Requirements Management,Master,6,,,Subject_M_401_01_en.pdf
M-402-01,Advanced Artificial Inteligence,Master,6,# Learning outcome LO1 Aware about the contemporary AI models and is able to choice the proper method or aproach for AI solution implementation LO2 Capable implement dep learning model and aply neded techniques to get aceptable results LO3 Capable to plan an experiments and run research working with dep learning models,,Subject_M_402_01_en.pdf
M-404-01,Economics of Artificial Inteligence,Master,3,"the course is to develop critical thinking of students in area of artificial inteligence (AI) aplications. The course discuses a series of real-world case studies, covering diferent socioeconomic aspects of modern data analytics and AI, and stimulate students for critical analyses of related decisions and chalenges. | # Learning outcome LO1 Able to obtain and rationaly examine information and make reasoned decisions (PLO1) LO2 Spēj izstrādāt mūsdienīgus programatūras risinājumus, integrējot ētiskos, sociālos, juridiskos un ekonomiskos aspekti (PLO5) LO3 Able to design, develop, maintain, test and evaluate novel data analytics, machine learning, and artificial inteligence solutions and aply t","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Emerging socioeconomic aspects of modern DA and AI 4 W1 W1 technologies P Case study 1: Profitability and value-for-money of DA and 4 W2 W2 AI solutions P Case study 2: Data privacy and deanonymization 4 W3 W3 P Case study 3: Automation efects on labour market 4 W4 W4 P Case study 4: AI-powered decision making 4 W5 W5 P Case",Subject_M_404_01_en.pdf
M-405-01,Student Project,Master,3,"# Learning outcome LO1 Aply design thinking and service design for inovation, improved eficiency or research insight LO2 Work productively, equitably and colaboratively in multidisciplinary teams using agile project management methods LO3 Select, aply and critique contemporary tols, methods and technologies using real- world data and use cases.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Project idea formulation 4 W1 W1 L Specialised lectures on research project implementation 8 W2 W6 S Project development and execution 8 W2 W8 L Report preparation and project presentation 4 W9 W9",Subject_M_405_01_en.pdf
M-546-04,Big Data,Master,6,this course is to explore al of the stages of the big data lifecycle; individualy and as a whole and provide knowledge and skils to enable the creation of the own data product,,Subject_M_546_04_en.pdf
