id,title,employer,category,salary_from,salary_to,salary_currency,work_time,remote,remote_type,publish_date,renewed_date,expiration_date,source
1514425,Senior Data Scientist,CV-Online Recruitment,IT,3500,4500,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-10,cv.lv
1514223,Software Engineer,TF Bank AB Latvijas filiāle,IT,2600,3900,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-10,cv.lv
1509747,Senior CRM Campaign Specialist,CV-Online Recruitment,IT,3000,4500,EUR,Full-time with shifts,True,FULLY_REMOTE,2026-02-17,2026-02-17,2026-03-04,cv.lv
1507822,R&D IT Hardware Engineer,CV-Online Recruitment,IT,4000,6500,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-03-17,cv.lv
1505866,Biznesa procesu analītiķis/-e,CV-Online Recruitment,IT,4000,,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-02-27,cv.lv
1517588,IT nodaļas vadītājs,MFD Veselības grupa,IT,2800,,EUR,Full-time with shifts,False,ON_SITE,2026-02-13,,2026-03-13,cv.lv
1516614,Junior SOC Analyst,Q.BEYOND,IT,1650,2400,EUR,Work after classes,False,ON_SITE,2026-02-12,,2026-03-12,cv.lv
1515808,IT Tehniskā atbalsta speciālists/-e (Datortehniķis),Giraffe360 SIA,IT,1600,1900,EUR,Full-time with shifts,False,ON_SITE,2026-02-12,,2026-03-12,cv.lv
1508717,Technical Support Specialist,Webbing,IT,1600,2000,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-03-03,cv.lv
1508715,Junior NOC Engineer,Webbing,IT,1600,1800,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-03-03,cv.lv
1508713,NOC Engineer,Webbing,IT,1900,2100,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-03-03,cv.lv
1508711,Junior Technical Support Specialist,Webbing,IT,1400,1600,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-03-03,cv.lv
1520194,German Speaking IT Service Desk Specialist,Arvato Systems Latvia SIA,IT,1400,1850,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-17,cv.lv
1520188,Digital Asset Management (DAM) Archivist / Digitālo resursu pārvaldības (DRP) Arhivārs(-e),"Circle K Business Centre, SIA",IT,1800,2300,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-04,cv.lv
1520190,Senior/Lead Full-stack Developer (.NET + JS),AS Ideaport Riga,IT,4000,5500,EUR,Full-time with shifts,True,HYBRID,2026-02-17,,2026-03-17,cv.lv
1520182,Business Application Support Specialist,Dyninno Technologies (Dynatech),IT,1800,,EUR,Full-time with shifts,True,HYBRID,2026-02-17,,2026-03-17,cv.lv
1520176,Junior Global Project Manager,Atea Global Services,IT,1700,2000,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-17,cv.lv
1520125,"Information Security Manager / Informācijas drošības vadītājs (-a) (GRC) | SEB, Riga",SEB,IT,3700,5600,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-19,cv.lv
1514749,Jaunākā/-ais programmētāja/-s,Attīstības finanšu institūcija Altum AS,IT,1400,1900,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-09,cv.lv
1514742,IT drošības pārvaldniece/- ks,Attīstības finanšu institūcija Altum AS,IT,3800,4700,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-09,cv.lv
1502943,Solution Manager,Worldline Latvia SIA,IT,3100,4100,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-02-27,cv.lv
1498776,Actor,KARNA PLUS,IT,500,1000,EUR,"Freelance, Full-time",True,FULLY_REMOTE,2026-02-17,2026-02-17,2026-02-20,cv.lv
1520098, IT Project Manager & System Analyst (Mid-Level),SINTEC UK,IT,2000,2300,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-17,cv.lv
1520097,Pirmā līmeņa tehniskā atbalsta speciālists/-e,UCS SIA,IT,1100,1800,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-17,cv.lv
1520088,Sistēmanalītiķis (Junior vai Mid-level),RIX Technologies AS,IT,1200,3500,EUR,"Freelance, Full-time with shifts",False,ON_SITE,2026-02-17,,2026-03-17,cv.lv
1520032,Java izstrādātājs/-a,VIA SMS Group,IT,3500,5000,EUR,Full-time with shifts,True,HYBRID,2026-02-17,,2026-03-17,cv.lv
1508528,System Analyst,Eleving Group,IT,2500,3500,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-03,cv.lv
1498720,Sistēmu analītiķis/-e,Latvijas Pasts AS,IT,3700,,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-02-20,cv.lv
1520007,Sistēmanalītiķis/-e,Latvijas Investīciju un attīstības aģentūra,IT,2300,3000,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-03,cv.lv
1520009,Senior Machine Learning Engineer for Research Team,GR8 Tech,IT,4000,6000,EUR,Full-time with shifts,True,FULLY_REMOTE,2026-02-17,,2026-03-17,cv.lv
1514544,Product Manager,Worldline Latvia SIA,IT,3100,4100,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-10,cv.lv
1514531,Galvenais/-ā datu bāzes attīstības speciālists/-e,Rīgas Austrumu klīniskā universitātes slimnīca SIA,IT,3150,3450,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-02-24,cv.lv
1508428,Radošais/-ā programmētājs/-a /  AI Assisted Software Developer,AOX Trade,IT,2500,4000,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-03-03,cv.lv
1508315,Biznesa vadības sistēmas (ERP) moduļa konsultants/-e,Solcraft SIA,IT,,2200,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-03,cv.lv
1519937,IT risinājumu atbalsta vecākais/-ā speciālists/-e,"Latvijas dzelzceļš, VAS",IT,1800,2150,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-17,cv.lv
1519936,Vecākais/-ā tīkla inženieris/-e,Latvijas Mobilais Telefons,IT,3500,5000,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-03,cv.lv
1514438,Senior .NET Full-Stack developer,Accenture ,IT,2500,4400,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-10,cv.lv
1514435,Azure Data Engineer,Accenture ,IT,2600,5200,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,2026-02-17,2026-03-10,cv.lv
1514432,Large Language Modelling/Gen AI engineer,Accenture ,IT,2600,5000,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-10,cv.lv
1519778,AML risinājumu analītiķis/-e, INDEXO Banka AS,IT,3000,,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-02,cv.lv
1519748,NODE Programmētājs (IT izstrādes un DevOps grupā),Latvenergo AS,IT,2600,3100,EUR,Full-time with shifts,False,ON_SITE,2026-02-17,,2026-03-02,cv.lv
1514301,Senior Identity and Access Management Engineer,If P&C Insurance AS Latvijas filiāle,IT,4500,6000,EUR,Full-time with shifts,True,HYBRID,2026-02-17,2026-02-17,2026-03-08,cv.lv
