id,title,employer,location,salary_from,salary_to,salary_currency,publish_date,expiration_date,job_url,source
6994a84573473,Darba piedāvājums MIG/MAG/ TIG metinātājiem. Tiek kompensēti ceļa izdevumi un dzīves vieta!,Darbsnīderlandē,Netherlands,3600,4000,EUR,4 hours ago,01.03.2026,https://www.visidarbi.lv/en/job-ad/darba-piedavajums-mig-mag-tig-metinatajiem-tiek-kompenseti-cela-izdevumi-un-dzives-vieta/6994a84573473,visidarbi.lv
699479ce99ddb,Šoferis - ekspeditors/-e ( Rīga),Elis tekstila serviss AS,Riga,1425,2000,EUR,6 hours ago,03.03.2026,https://www.visidarbi.lv/en/job-ad/soferis-ekspeditors-e-riga/699479ce99ddb,visidarbi.lv
6994364387d6b,Restorāna darbinieks/-ce - T/C Akropole Rīga,Premier Restaurants Latvia SIA,Riga,6,,EUR,6 hours ago,19.03.2026,https://www.visidarbi.lv/en/job-ad/restorana-darbinieks-ce-t-c-akropole-riga/6994364387d6b,visidarbi.lv
69821062a10ec,Būvdarbu vadītājs,DVE CONSTRUCTION Latvijas filiāle,Riga,2800,3500,EUR,6 hours ago,05.03.2026,https://www.visidarbi.lv/en/job-ad/buvdarbu-vaditajs/69821062a10ec,visidarbi.lv
69948581adc99,Pārdošanas speciālists/-e salonā Jēkabpilī,BITE Latvija SIA,Jekabpils,900,1600,EUR,6 hours ago,03.03.2026,https://www.visidarbi.lv/en/job-ad/pardosanas-specialists-e-salona-jekabpili/69948581adc99,visidarbi.lv
696f903f075dc,Darba iespējas Vācijā – govju slaukšana,Your Employee,Germany,3400,4650,EUR,7 hours ago,19.02.2026,https://www.visidarbi.lv/en/job-ad/darba-iespejas-vacija-govju-slauksana/696f903f075dc,visidarbi.lv
696f890c25fda,Spēļu prezentētājs-a / Game PresenterПриймаємо українців,WSoft SIA,Riga,5,12,EUR,8 hours ago,19.02.2026,https://www.visidarbi.lv/en/job-ad/spelu-prezentetajs-a-game-presenter/696f890c25fda,visidarbi.lv
696f87c78eff3,Spēļu prezentētājs/-a (nakts maiņas) / Game Presenter (night shifts)Приймаємо українців,WSoft SIA,Riga,11,15,EUR,8 hours ago,19.02.2026,https://www.visidarbi.lv/en/job-ad/spelu-prezentetajs-a-nakts-mainas-game-presenter-night-shifts/696f87c78eff3,visidarbi.lv
69946a0fbc2d2,Projekta vadītājs (ceļu būvniecība),Valkas ceļi SIA,Vidzeme,2800,4000,EUR,8 hours ago,19.03.2026,https://www.visidarbi.lv/en/job-ad/projekta-vaditajs-celu-buvnieciba/69946a0fbc2d2,visidarbi.lv
6981f3fe879bd,Ārējo ūdensapgādes un kanalizācijas tīklu montētājs,"SIA ""Liepājas ūdens""",Liepaja,33,7,EUR,9 hours ago,05.03.2026,https://www.visidarbi.lv/en/job-ad/arejo-udensapgades-un-kanalizacijas-tiklu-montetajs/6981f3fe879bd,visidarbi.lv
